input,State
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low",Nominal
